,season,Game #,Start SR,End SR,SR Change,Team SR avg,Enemy SR avg,Team Stack,Enemy Stack,Role 1,Role 2,Result,Streak,Leaver,Map,Mode,Match Time,Gold medals,Silver medals,Bronze medals,No medals,Elim,Elim_career,Elim_medal,Obj_kills,Obj_kills_career,Obj_kills_medal,Obj_time,Obj_time_career,Obj_time_medal,Dmg,Dmg_career,Dmg_medal,Heal,Heal_career,Heal_medal,Death,Death_career
280,9,112,1841,1866,25.0,1900,1891,4.0,3.0,Tank,Support,Win,3,No,Watchpoint: Gibraltar,Escort,05:53,0.0,2.0,0.0,3.0,16.0,19.62,None,13.0,11.35,Silver,00:35,01:27,0,2658.0,5251.0,0,2330.0,6608.0,2,5.0,6.96
301,9,133,2236,2213,-23.0,0,2233,2.0,1.0,Support,Offense,Loss,-1,No,Numbani,Assault/Escort,14:36,0.0,4.0,0.0,1.0,16.0,19.64,Silver,7.0,11.57,Silver,01:18,01:31,0,8579.0,5199.0,2,6336.0,6537.0,2,10.0,6.94
303,9,135,2188,2165,-23.0,2185,2188,3.0,3.0,Offense,Tank,Loss,-3,No,Hanamura,Assault,10:43,0.0,0.0,2.0,3.0,12.0,19.55,Bronze,5.0,11.52,None,00:37,01:31,1,4439.0,5188.0,0,0.0,6472.0,0,9.0,6.96
311,9,143,2246,2221,-25.0,2218,2215,1.0,2.0,Tank,Support,Loss,-2,No,Hollywood,Assault/Escort,14:40,0.0,2.0,1.0,2.0,14.0,19.35,None,8.0,11.39,Silver,02:08,01:32,1,5696.0,5136.0,0,7306.0,6506.0,2,16.0,7.01
316,9,148,2216,2238,22.0,2185,2185,1.0,2.0,Defense,Support,Win,2,No,Hollywood,Assault/Escort,19:46,0.0,0.0,1.0,4.0,34.0,19.21,None,16.0,11.29,None,03:31,01:32,1,10261.0,5118.0,0,6498.0,6460.0,0,14.0,7.03
317,9,149,2238,2260,22.0,2227,2222,4.0,4.0,Defense,Support,Win,3,No,Volskaya Industries,Assault,18:03,0.0,1.0,1.0,3.0,32.0,19.2,None,22.0,11.3,None,02:49,01:33,1,9602.0,5122.0,0,8310.0,6442.0,2,15.0,7.05
319,9,151,2288,2263,-25.0,2303,2301,1.0,1.0,Tank,Support,Loss,-1,No,Route 66,Escort,23:15,1.0,0.0,1.0,3.0,20.0,19.1,None,17.0,11.3,Bronze,04:59,01:33,3,8686.0,5112.0,0,1811.0,6392.0,0,21.0,7.07
323,9,155,2244,2223,-21.0,2249,2249,1.0,1.0,Support,Defense,Loss,-3,No,Numbani,Assault/Escort,15:34,2.0,1.0,2.0,0.0,26.0,19.12,Gold,15.0,11.31,Gold,02:27,01:33,1,8564.0,5120.0,2,4839.0,6426.0,1,12.0,7.07
326,9,158,2223,2203,-20.0,2235,2246,1.0,1.0,Tank,Support,Loss,-2,No,Volskaya Industries,Assault,07:44,4.0,1.0,0.0,0.0,11.0,19.13,Silver,5.0,11.32,Gold,00:27,01:34,3,4415.0,5130.0,3,3818.0,6397.0,3,7.0,7.07
327,9,159,2203,2182,-21.0,2171,2179,2.0,2.0,Support,Tank,Loss,-3,No,Oasis,Control,09:30,1.0,3.0,1.0,0.0,10.0,19.09,Bronze,5.0,11.29,Silver,02:41,01:34,3,6370.0,5139.0,2,3143.0,6382.0,2,8.0,7.08
333,9,165,2266,2287,21.0,2253,2249,3.0,3.0,Defense,Tank,Win,3,Enemy team,Eichenwalde,Assault/Escort,16:19,0.0,1.0,2.0,2.0,36.0,19.25,Bronze,12.0,11.4,None,02:14,01:34,0,11929.0,5182.0,2,448.0,6271.0,1,12.0,7.05
335,9,167,2262,2279,17.0,2215,2231,3.0,3.0,Defense,Tank,Win,1,No,Junkertown,Escort,14:42,0.0,0.0,0.0,5.0,23.0,19.2,None,9.0,11.36,None,01:05,01:34,0,7479.0,5176.0,0,0.0,6244.0,0,12.0,7.07
339,9,171,2354,2329,-25.0,2349,2352,1.0,1.0,Support,Defense,Loss,-1,My team,Hollywood,Assault/Escort,13:19,2.0,3.0,0.0,0.0,8.0,18.97,Silver,4.0,11.19,Gold,00:15,01:32,2,6265.0,5135.0,2,10709.0,6329.0,3,8.0,7.03
341,9,173,2307,2285,-22.0,2233,2230,1.0,1.0,Tank,Support,Loss,-3,No,Watchpoint: Gibraltar,Escort,14:01,2.0,2.0,1.0,0.0,26.0,18.92,Gold,15.0,11.16,Gold,02:12,01:32,2,7325.0,5124.0,1,7255.0,6328.0,2,12.0,7.06
343,9,175,2310,2289,-21.0,0,2316,5.0,4.0,Tank,Defense,Loss,-1,No,Eichenwalde,Assault/Escort,09:36,4.0,0.0,0.0,1.0,12.0,18.84,Gold,4.0,11.08,Gold,00:34,01:31,3,7334.0,5123.0,3,0.0,6327.0,0,8.0,7.08
345,9,177,2261,2237,-24.0,2244,2249,1.0,2.0,Support,Tank,Loss,-3,My team,Numbani,Assault/Escort,11:37,1.0,1.0,2.0,1.0,10.0,18.76,Bronze,5.0,11.04,None,01:02,01:31,2,3857.0,5112.0,1,4517.0,6300.0,3,9.0,7.09
349,9,181,2254,2235,-19.0,2248,2246,1.0,2.0,Tank,Support,Loss,-2,No,Eichenwalde,Assault/Escort,13:12,1.0,2.0,2.0,0.0,30.0,18.76,Bronze,20.0,11.05,Gold,04:13,01:32,2,7681.0,5133.0,1,5926.0,6180.0,2,8.0,7.07
354,9,186,2290,2313,23.0,2294,2294,1.0,2.0,Tank,Support,Win,4,No,Temple of Anubis,Assault,19:38,2.0,0.0,1.0,2.0,27.0,18.72,None,13.0,11.04,Gold,02:16,01:32,3,8058.0,5114.0,0,1949.0,6131.0,1,12.0,7.04
356,9,188,2289,2267,-22.0,2248,2252,1.0,1.0,Support,Tank,Loss,-2,No,Temple of Anubis,Assault,17:48,1.0,1.0,0.0,3.0,23.0,18.64,None,13.0,10.99,None,02:17,01:32,3,6275.0,5105.0,0,9183.0,6106.0,2,8.0,7.04
360,9,192,2249,2266,17.0,2236,2244,2.0,2.0,Defense,Offense,Win,1,No,Watchpoint: Gibraltar,Escort,16:27,0.0,2.0,1.0,2.0,29.0,18.6,Bronze,8.0,10.92,Silver,01:28,01:32,0,11960.0,5120.0,2,0.0,6062.0,0,11.0,7.02
369,9,201,2224,2245,21.0,2239,2254,3.0,2.0,Support,Tank,Win,1,No,Blizzard World,Assault/Escort,08:28,0.0,1.0,2.0,2.0,20.0,18.53,Bronze,3.0,10.88,Bronze,00:13,01:33,0,4154.0,5100.0,0,3711.0,6012.0,2,5.0,7.02
373,9,205,2316,2294,-22.0,2257,2260,2.0,1.0,Support,Tank,Loss,-1,No,Volskaya Industries,Assault,16:30,1.0,0.0,2.0,2.0,24.0,18.4,Bronze,10.0,10.8,None,01:33,01:33,1,9245.0,5069.0,0,11241.0,6044.0,3,15.0,7.06
381,9,213,2256,2256,0.0,2184,2182,3.0,2.0,Tank,Support,Draw,0,No,Horizon Lunar Colony,Assault,17:22,1.0,1.0,1.0,2.0,21.0,18.27,None,13.0,10.73,Silver,01:51,01:33,3,7064.0,5043.0,0,5085.0,6042.0,1,14.0,7.09
396,9,228,2363,2385,22.0,2348,2331,1.0,2.0,Tank,Support,Win,3,No,Oasis,Control,12:25,1.0,1.0,0.0,3.0,14.0,17.89,None,11.0,10.52,None,02:04,01:32,3,5174.0,4943.0,0,6346.0,6234.0,2,7.0,7.05
397,9,229,2385,2405,20.0,2338,2365,2.0,2.0,Defense,Tank,Win,4,No,Horizon Lunar Colony,Assault,08:14,0.0,2.0,2.0,1.0,20.0,17.91,Bronze,11.0,10.53,Silver,00:36,01:32,2,5542.0,4949.0,1,0.0,6216.0,0,4.0,7.05
417,9,249,2402,2421,19.0,2404,2414,3.0,3.0,Defense,Tank,Win,4,No,Horizon Lunar Colony,Assault,17:55,0.0,1.0,0.0,4.0,16.0,17.74,None,10.0,10.43,None,00:39,01:34,0,12448.0,4927.0,2,0.0,6165.0,0,11.0,7.09
424,9,256,2421,2396,-25.0,2403,2417,2.0,2.0,Offense,Support,Loss,-1,No,King's Row,Assault/Escort,09:13,0.0,1.0,0.0,4.0,8.0,17.58,None,3.0,10.33,None,00:26,01:34,0,2694.0,4879.0,0,1877.0,6201.0,2,10.0,7.14
426,9,258,2368,2343,-25.0,2362,2363,1.0,1.0,Offense,Defense,Loss,-3,No,Volskaya Industries,Assault,09:01,1.0,0.0,3.0,1.0,8.0,17.55,Bronze,2.0,10.29,Bronze,00:23,01:33,3,4386.0,4881.0,1,0.0,6156.0,0,9.0,7.16
430,9,262,2383,2407,24.0,2334,2357,2.0,2.0,Support,Tank,Win,2,No,Watchpoint: Gibraltar,Escort,21:11,1.0,1.0,1.0,2.0,3.0,17.63,None,23.0,10.32,Gold,04:06,01:33,2,8454.0,4887.0,0,6449.0,6154.0,1,14.0,7.13
432,9,264,2429,2450,21.0,2411,2416,2.0,2.0,Offense,Defense,Win,4,No,Lijiang Tower,Control,10:48,0.0,1.0,0.0,4.0,23.0,17.63,Silver,10.0,10.31,None,00:45,01:33,0,7855.0,4892.0,0,0.0,6145.0,0,8.0,7.14
433,9,265,2450,2427,-23.0,2421,2436,2.0,2.0,Defense,Tank,Loss,-1,No,Watchpoint: Gibraltar,Escort,11:42,2.0,0.0,2.0,1.0,12.0,17.6,Bronze,7.0,10.3,Gold,02:23,01:33,3,6040.0,4893.0,1,0.0,6125.0,0,14.0,7.15
437,9,269,2408,2435,27.0,2432,2446,1.0,5.0,Tank,Support,Win,2,No,Nepal,Control,13:52,0.0,2.0,1.0,2.0,27.0,17.62,None,16.0,10.33,Bronze,02:02,01:33,2,6140.0,4902.0,0,7131.0,6138.0,2,11.0,7.16
439,9,271,2411,2432,21.0,2365,2377,2.0,3.0,Offense,Defense,Win,1,No,Numbani,Assault/Escort,18:04,0.0,1.0,0.0,4.0,34.0,17.58,None,17.0,10.3,None,02:00,01:33,0,16159.0,4922.0,2,0.0,6075.0,0,13.0,7.17
440,9,272,2432,2409,-23.0,2378,2362,3.0,4.0,Defense,Offense,Loss,-1,No,Route 66,Escort,16:55,2.0,1.0,0.0,2.0,42.0,17.62,Gold,28.0,10.33,Gold,01:35,01:33,0,16860.0,4948.0,2,361.0,6045.0,0,16.0,7.18
442,9,274,2388,2366,-22.0,2372,2376,2.0,2.0,Defense,Support,Loss,-3,No,Blizzard World,Assault/Escort,13:01,0.0,1.0,0.0,4.0,14.0,17.59,None,9.0,10.34,None,02:15,01:33,0,5905.0,4946.0,0,5885.0,6052.0,2,15.0,7.2
444,9,276,2392,2365,-27.0,2368,2361,1.0,1.0,Tank,Offense,Loss,-1,No,Eichenwalde,Assault/Escort,14:34,0.0,1.0,2.0,2.0,14.0,17.59,Bronze,8.0,10.34,Silver,01:09,01:33,0,6094.0,4943.0,1,0.0,6035.0,0,16.0,7.22
450,9,282,2347,2325,-22.0,2347,2323,3.0,3.0,Tank,Support,Loss,-2,No,Eichenwalde,Assault/Escort,10:32,1.0,1.0,1.0,2.0,17.0,17.48,None,11.0,10.3,Bronze,03:29,01:34,3,4979.0,4904.0,0,2408.0,6079.0,2,12.0,7.22
455,9,287,2366,2389,23.0,2352,2357,1.0,1.0,Tank,Support,Win,2,No,Hanamura,Assault,15:58,1.0,0.0,1.0,3.0,31.0,17.51,None,23.0,10.33,Bronze,01:33,01:34,0,7277.0,4941.0,0,9367.0,6021.0,3,11.0,7.2
468,9,300,2405,2385,-20.0,2390,2370,2.0,3.0,Support,Offense,Loss,-3,No,Route 66,Escort,05:33,3.0,1.0,0.0,1.0,6.0,17.42,Gold,3.0,10.28,Gold,00:56,01:35,3,3807.0,4921.0,0,3479.0,6074.0,2,6.0,7.26
494,10,12,2388,2388,0.0,2355,2365,2.0,2.0,Support,Defense,Draw,0,No,King's Row,Assault/Escort,18:34,1.0,2.0,0.0,2.0,38.0,15.16,Silver,24.0,9.04,Gold,03:54,01:59,0,12659.0,4736.0,2,5858.0,4197.0,0,12.0,8.18
508,10,26,2416,2391,-25.0,2431,2435,4.0,3.0,Defense,Offense,Loss,-1,No,Eichenwalde,Assault/Escort,11:50,1.0,0.0,0.0,4.0,14.0,15.05,None,9.0,8.33,None,01:43,01:46,0,9594.0,4700.0,3,0.0,4312.0,0,15.0,7.97
509,10,27,2391,2368,-23.0,2356,2360,1.0,1.0,Tank,Support,Loss,-2,No,Blizzard World,Assault/Escort,20:53,1.0,2.0,0.0,2.0,36.0,15.21,None,20.0,8.42,Silver,05:08,01:49,3,10521.0,4729.0,0,12149.0,4415.0,2,15.0,7.93
522,10,40,2388,2409,21.0,2346,2365,2.0,2.0,Tank,Defense,Win,1,No,Watchpoint: Gibraltar,Escort,20:22,0.0,1.0,1.0,3.0,35.0,15.15,None,16.0,8.2,None,06:12,01:52,1,13891.0,4889.0,2,0.0,4032.0,0,12.0,7.94
525,10,43,2462,2437,-25.0,0,0,1.0,1.0,Support,Defense,Loss,-1,No,Horizon Lunar Colony,Assault,14:38,0.0,2.0,1.0,2.0,11.0,15.27,None,5.0,8.06,Bronze,01:20,01:53,2,5377.0,4909.0,0,7807.0,4024.0,2,17.0,7.93
528,10,46,2430,2402,-28.0,2433,2439,1.0,1.0,Defense,Tank,Loss,-2,No,Ilios,Control,08:37,0.0,0.0,3.0,2.0,12.0,15.32,None,6.0,8.15,Bronze,00:25,01:54,0,5126.0,4989.0,1,1844.0,3781.0,1,6.0,7.91
530,10,48,2423,2401,-22.0,0,0,3.0,3.0,Defense,Offense,Loss,-1,No,Lijiang Tower,Control,06:14,4.0,0.0,0.0,1.0,10.0,15.33,Gold,3.0,8.06,Gold,00:24,01:55,3,5268.0,5082.0,3,307.0,3633.0,0,7.0,7.89
534,10,52,2377,2398,21.0,2394,2402,2.0,3.0,Support,Tank,Win,1,No,Watchpoint: Gibraltar,Escort,16:02,0.0,1.0,2.0,2.0,26.0,15.42,None,15.0,8.09,Silver,02:04,01:56,1,6614.0,5077.0,0,2550.0,3559.0,1,11.0,7.88
538,10,56,2379,2402,23.0,2355,2359,3.0,2.0,Offense,Defense,Win,2,No,Rialto,Escort,13:01,1.0,1.0,0.0,3.0,28.0,15.46,Silver,8.0,7.95,None,02:13,01:54,0,13547.0,5174.0,3,0.0,3530.0,0,10.0,7.87
541,10,59,2457,2486,29.0,2473,0,1.0,1.0,Support,Tank,Win,5,No,Temple of Anubis,Assault,14:17,2.0,0.0,2.0,1.0,35.0,15.69,Gold,17.0,8.09,Bronze,02:16,01:54,3,9440.0,5156.0,0,7543.0,3731.0,1,8.0,7.75
548,10,66,2623,2595,-28.0,2540,2560,3.0,4.0,Defense,Tank,Loss,-1,No,Hollywood,Assault/Escort,11:55,0.0,0.0,1.0,4.0,10.0,16.21,None,4.0,8.35,None,01:36,01:53,1,4565.0,5130.0,0,0.0,4092.0,0,12.0,7.52
555,10,73,2634,2612,-22.0,2717,2717,1.0,2.0,Tank,Defense,Loss,-1,No,Temple of Anubis,Assault,16:28,3.0,0.0,1.0,1.0,24.0,16.13,Gold,8.0,8.17,Gold,01:26,01:51,3,7929.0,5036.0,0,2279.0,4313.0,1,13.0,7.45
563,10,81,2631,2607,-24.0,2594,0,1.0,2.0,Support,Offense,Loss,-2,No,Hollywood,Assault/Escort,06:12,1.0,0.0,3.0,1.0,7.0,16.1,Bronze,2.0,8.26,Bronze,00:05,01:51,0,2104.0,4948.0,1,6831.0,4387.0,3,5.0,7.42
569,10,87,2678,2652,-26.0,2626,2596,1.0,1.0,Tank,Offense,Loss,-1,No,Numbani,Assault/Escort,15:24,0.0,0.0,0.0,5.0,19.0,16.11,None,11.0,8.27,None,01:52,01:51,0,7659.0,4976.0,0,882.0,4281.0,0,10.0,7.36
573,10,91,2672,2649,-23.0,2638,2640,2.0,2.0,Support,Tank,Loss,-1,No,Horizon Lunar Colony,Assault,06:28,2.0,1.0,1.0,1.0,3.0,15.98,Silver,1.0,8.16,Gold,00:07,01:49,3,2388.0,4954.0,1,262.0,4212.0,0,6.0,7.42
576,10,94,2600,2575,-25.0,2593,2586,2.0,2.0,Tank,Support,Loss,-4,No,Oasis,Control,05:49,2.0,0.0,0.0,3.0,2.0,15.88,None,1.0,8.1,Gold,00:21,01:48,0,3038.0,4915.0,0,2640.0,4325.0,3,6.0,7.4
581,10,99,2569,2543,-26.0,0,2577,2.0,2.0,Support,Offense,Loss,-3,No,Route 66,Escort,11:56,1.0,0.0,3.0,1.0,25.0,15.93,Bronze,13.0,8.07,Gold,01:20,01:47,0,7635.0,4904.0,1,3760.0,4299.0,1,11.0,7.42
