,date,time,season,game_id,sr_start,sr_finish,sr_delta,streak_number,result,my_team_sr,enemy_team_sr,team_sr_delta,my_team_1,my_team_2,my_team_3,my_team_4,my_team_5,my_team_6,enemy_team_1,enemy_team_2,enemy_team_3,enemy_team_4,enemy_team_5,enemy_team_6,map,round,capscore,score_distance,time_left,team_role,match_length,charcter_1,character_2,character_3,communication,note,psychological_condition,eliminations,objective_kills,damage,healing,deaths,weapon_accuracy,offensive_assists,defensive_assists,scoped
0,12/4/2016,,3,1.0,2387,,,,win,-,-,-,JustWingIt,Gwennie,HBHack,DJDirtyElbow,Crackeye,Planetarian,MrChad,Funkler,Zeefreeman,CrazyFi,Darkweld,WormWood,nepal,-,wwllw,3-2,,cp,22,ana,,,,,meh,,,,,,,,,
1,12/4/2016,,3,2.0,2387,2367,-20,,loss,2617,2619,-2,JustWingIt,Gwennie,HBHack,Celluknight,Devious718,Flanksteak,Rockenstein,Rhino222222,UWOtm8,Karnage,Toosealy4me,Trianta,dorado,1,-,74.54,0,attack,6,ana,,,,,meh,,,,,,,,,
2,12/4/2016,,3,2.0,,,,,loss,2617,2619,-2,JustWingIt,Gwennie,HBHack,Celluknight,Devious719,Flanksteak,Rockenstein,Rhino222223,UWOtm9,Karnage,Toosealy4me,Trianta,dorado,2,0,,0,defend,4,torbjorn,tracer,,,,meh,,,,,,,,,
3,12/4/2016,,3,3.0,2367,2367,0,,,2680,2745,-65,Justwingit,CeleryMan,HBHack,Looty,MisterMaster,Teophrastus,Dad,Mom,Atdubz,Dreamkiller,Favion,Worsttoplane,gibraltar,1,1,0,,attack,0,ana,,,,,meh,,,,,,,,,
4,12/15/2016,,3,4.0,2367,2367,0,,,-,-,-,JustwingIt,Celeryman,HBHack,Looty,Manofthewild,TheSmalldog,DDSBUI,Hannibal,Hasaky,Ihave6pack,RIP,Starfish,dorado,1,0,0,,attack,0,,,,,,meh,,,,,,,,,
5,12/15/2016,,3,5.0,2367,2330,-37,,loss,2659,2687,-28,JustwingIt,Celeryman,HBHack,Looty,TheSmalldog,MasterWee,Occi,AJWaka,Deadlykitten,Klubsee,Silver,Skuid,king's row,1,3,70.19,0.8,attack,8,lucio,,,,,meh,,,,,,,,,
6,12/15/2016,,3,5.0,,,,,loss,2659,2687,-28,JustwingIt,Celeryman,HBHack,Looty,TheSmalldog,MasterWee,Occi,AJWaka,Deadlykitten,Klubsee,Silver,Skuid,king's row,2,3,70.19,3:25,defend,5,lucio,ana,,,,meh,,,,,,,,,
7,12/15/2016,,3,5.0,,,,,loss,2659,2687,-28,JustwingIt,Celeryman,HBHack,Looty,TheSmalldog,MasterWee,Occi,AJWaka,Deadlykitten,Klubsee,Silver,Skuid,king's row,3,0,0,0,attack,1,lucio,ana,,,,meh,,,,,,,,,
8,12/15/2016,,3,5.0,,,,,loss,2659,2687,-28,JustwingIt,Celeryman,HBHack,Looty,TheSmalldog,MasterWee,Occi,AJWaka,Deadlykitten,Klubsee,Silver,Skuid,king's row,4,1,0,0,defend,3,lucio,,,,,meh,,,,,,,,,
9,12/15/2016,,3,6.0,2330,2330,0,,,2595,2683,-88,JustwingIt,Celeryman,HBHack,Looty,TheSmalldog,Dvus,Elucian,Pajerski,Penguin,Susieeq,Tomeev,Trotsky,template of anubis,-,-,,,attack,,,,,,,meh,,,,,,,,,
10,12/15/2016,,3,7.0,2330,2350,20,,win,2573,2622,-49,JustwingIt,HBHack,Looty,TheSmalldog,Mao,Fubarcrew,DoctorDog,Kamikazi,BarryAllen,KCMax,Truealpha,Yugo,nepal,-,wwllw,3-2,,cp,,lucio,,,,,meh,,,,,,,,,
